date;link
06.09.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7630795
03.09.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7630794
20.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7424097
17.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7423833
15.02.2020;https://www.fotball.no/fotballdata/kamp/?fiksId=7424096
23.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390911
20.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390910
17.10.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390909
10.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7398274
08.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7398172
06.09.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7390907
10.08.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7393409
07.08.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7393248
04.08.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7221799
11.05.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7221798
09.05.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7221797
07.05.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7221796
21.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7185999
19.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7185998
17.02.2019;https://www.fotball.no/fotballdata/kamp/?fiksId=7185997
29.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7135245
26.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7135244
23.10.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7135243
11.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7139731
09.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7139730
07.09.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7097637
11.08.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7134020
09.08.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7094145
07.08.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7094144
05.08.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7094143
21.04.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7064648
18.04.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7064647
17.04.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=7064646
12.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6929600
10.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6929599
08.03.2018;https://www.fotball.no/fotballdata/kamp/?fiksId=6929598
24.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878456
21.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878455
18.10.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878454
02.09.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6884859
31.08.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6884555
29.08.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878198
05.08.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6878552
03.08.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6836000
01.08.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6835999
30.07.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6835998
17.04.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6768966
15.04.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6768964
13.04.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6768962
12.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6642372
10.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6642260
08.03.2017;https://www.fotball.no/fotballdata/kamp/?fiksId=6642256
28.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627817
25.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627816
23.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627815
03.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6633191
01.09.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6633088
30.08.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6633089
09.08.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6628549
07.08.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6627814
05.08.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6596902
03.08.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6596901
29.06.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6567209
03.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6474854
01.04.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6474853
30.03.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6474796
21.02.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6378671
18.02.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6378670
16.02.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6378669
21.01.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393477
19.01.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393476
18.01.2016;https://www.fotball.no/fotballdata/kamp/?fiksId=6393475
